idx,band,song,f0_src,f0_p95_hz,f0_p90_hz,f0_med_hz,f0_p95_semi,f0_med_semi,voiced_frac,mix_f0_p95_hz,mix_f0_med_hz,mix_voiced_frac,mode_score,key,centroid,rolloff,flatness,contrast,flux,zcr,rms,tempo,x_f0_cent_roll,onset_rate,harmonic_ratio,perc_ratio
0,afterglow,Hey-day狂騒曲(カプリチオ),vocal,499.6219,463.4789,355.3326,71.2,65.3,0.6362,156.4647,115.2024,0.4057,0.0735,Dmaj,2977.4586,6101.6765,0.0616,21.1537,1.267,0.154,0.2686,161.499,-0.4569,1.9983,0.6825,0.3175
4,afterglow,Y.O.L.O!!!!!,vocal,529.331,523.2511,385.2612,72.2,66.7,0.6993,505.4273,117.8951,0.2606,0.2555,Fmaj,2945.8072,5886.9875,0.0585,20.7958,1.1859,0.1644,0.2749,103.3594,-0.1946,2.1038,0.6506,0.3494
9,afterglow,Crow Song,vocal,587.3295,526.2823,335.3893,74.0,64.3,0.6624,192.6306,131.5706,0.1503,0.1389,D#maj,2827.1522,5594.7396,0.0518,21.3926,1.1385,0.1529,0.2749,117.4538,0.2515,2.6372,0.6115,0.3885
14,ave_mujica,天球のMúsica,vocal,529.331,511.3001,353.2861,72.2,65.2,0.8021,398.8474,116.5409,0.3414,0.2888,Fmaj,2650.7266,5485.8519,0.0506,22.193,1.0333,0.126,0.3407,129.1992,-0.4489,0.2283,0.7972,0.2028
18,ave_mujica,顔,vocal,499.6219,491.0387,374.2936,71.2,66.2,0.6358,125.6291,110.6372,0.4809,-0.1041,F#min,3075.5327,6428.0906,0.0548,21.0525,1.2742,0.1417,0.3463,143.5547,-0.3428,1.9573,0.7379,0.2621
20,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,vocal,547.9978,508.3552,405.8191,72.8,67.6,0.5277,349.0271,117.8951,0.2855,-0.1506,G#min,2716.4345,5491.7946,0.0427,22.4139,1.2273,0.1445,0.2674,107.666,-0.2156,2.652,0.6677,0.3323
24,hello_happy_world,キミがいなくちゃっ！,vocal,468.8642,442.5489,335.3893,70.1,64.3,0.7677,347.2168,146.8324,0.3186,0.3093,Dmaj,2466.894,4975.3082,0.0373,23.2199,1.209,0.1267,0.2515,123.0469,-1.3105,2.8675,0.7597,0.2403
28,hello_happy_world,Listen to Smile!,vocal,496.7443,493.8833,365.7447,71.1,65.8,0.717,250.6793,122.7597,0.4478,-0.0142,Emin,2401.6229,5037.2768,0.0311,22.8626,1.2077,0.1178,0.2945,129.1992,-1.0278,2.2403,0.7665,0.2335
31,morfonica,Feathered Dreams,vocal,557.5767,547.9978,440.0,73.1,69.0,0.7013,160.1219,111.2781,0.3341,-0.1133,Amin,2737.4787,5521.1009,0.0383,22.3082,1.1721,0.1264,0.353,117.4538,-0.1026,2.7963,0.8051,0.1949
34,morfonica,Polyphonyscape,vocal,535.7917,468.8642,369.9944,72.41,66.0,0.7941,398.8474,130.0594,0.3949,0.1666,F#maj,2904.472,5924.4396,0.0466,22.7021,1.248,0.138,0.2772,151.9991,-0.1496,1.6705,0.7372,0.2628
