idx,band,song,url
0,afterglow,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo?si=JqDHcvKWWPBxYu13
1,afterglow,燦々,https://youtu.be/WnTBaFVyDyM?si=ybq7FlA_vHzO48b3
2,afterglow,Sasanqua,https://youtu.be/WlxWzf5jjsI
3,afterglow,Butter-Fly,https://youtu.be/GlylV3xII5k?si=2wKE6I9na17e4Dwa
4,afterglow,Y.O.L.O!!!!!,https://youtu.be/NWTkdgPu9v8?si=e41IrKVp6kuMisF6
5,afterglow,アイのシナリオ,https://youtu.be/TFvTI-1uz7g?si=eTBNpDfRd7AhbBZP
6,afterglow,カサブタ,https://youtu.be/-0QIHYtgwwQ?si=246TcAMhzW4hdID6
7,afterglow,ONE OF US,https://youtu.be/fwT9BgeiPNU?si=Zav4CSyg58g67Wwd
8,afterglow,ツナグ、ソラモヨウ,https://youtu.be/BnWyq8p7NzI?si=IfhVyDetEXhXfENJ
9,afterglow,Crow Song,https://youtu.be/mpPPaC8vfsU?si=TRJ4wMOSQf-IESds
10,ave_mujica,KiLLKiSS,https://youtu.be/RexyoaXaQ1o?si=4KnLfmVcLXGZU9ok
11,ave_mujica,Ave Mujica,https://youtu.be/QDsd0nyzwz0?si=2-LMlTse4pmt73jL
12,ave_mujica,黒のバースデイ,https://youtu.be/WIhtJ7eJ-oI?si=5JXjRO6Z71SyI6MK
13,ave_mujica,"Georgette Me, Georgette You",https://youtu.be/vKDa7yfpd2M?si=yhKbsQ5ExrDDi9NY
14,ave_mujica,天球のMúsica,https://youtu.be/2Bo-ULStqLo?si=0WxuknHcbQoOEbYS
15,ave_mujica,Imprisoned XII,https://youtu.be/0YNMV7xljD4?si=QjWhMdaqgR9XDG6W
16,ave_mujica,八芒星ダンス,https://youtu.be/tevtnb427Mw?si=4nvbwLFuyK2TdIEK
17,ave_mujica,Symbol I : △,https://youtu.be/2O5C0mJx0Fs?si=sqj7XipjFcoDMFpC
18,ave_mujica,顔,https://youtu.be/cVfQBLdIUXk
19,ave_mujica,Sophie,https://youtu.be/ivXQ21xDHfE?si=L3md2MAzZaiTU1cv
20,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,https://youtu.be/35xJFtwHx7Q?si=_dkdu9JBTZnweVsF
21,hello_happy_world,えがお･シング･あ･ソング,https://youtu.be/B-I2KAxGKD8?si=XalAvDlTbifInOnw
22,hello_happy_world,全力少年,https://youtu.be/-YBcjF1R-Es?si=jzq3nCUlUZxdq0VK
23,hello_happy_world,えがおのオーケストラっ！,https://youtu.be/24Xzx6dH5tg?si=kY-sUYj3En-RN9CJ
24,hello_happy_world,キミがいなくちゃっ！,https://youtu.be/9itZp8utiAw?si=YIRUah3PT0DesLsK
25,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,https://youtu.be/Qq1_N9wKA0I?si=wdVJqg-RfUMTe_e8
26,hello_happy_world,ハッピーサマーウェディング,https://youtu.be/SQrYhJ6x7kE?si=FhLABGHADt9Ax9Qs
27,hello_happy_world,うぃーきゃん☆フレフレっ！,https://youtu.be/VJDcALjsZ80?si=cD0XVu7GihuEkqcG
28,hello_happy_world,Listen to Smile!,https://youtu.be/5Bz8TBMardI?si=dQIwi4bkghxECUTo
29,hello_happy_world,せかいのっびのびトレジャー！,https://youtu.be/t-YRHYvIqEE?si=FXgXWTWs_J3-jytG
30,morfonica,Daylight -デイライト-,https://www.youtube.com/watch?v=DhYniTbW2P0&list=RDDhYniTbW2P0&start_radio=1
31,morfonica,Feathered Dreams,https://youtu.be/sAnwgtsAzs8
32,morfonica,Wreath of Brave,https://youtu.be/5O3gAE65_34?si=A5Y020-z-OIrq3y7
33,morfonica,"寄る辺のSunny, Sunny",https://youtu.be/6C4NOz-t3QA?si=4ljWqTr_THSYSskt
34,morfonica,Polyphonyscape,https://youtu.be/I6h4Rm32k-I?si=lDAhwR9T4h8cbhUd
35,morfonica,きょうもMerry go rounD,https://youtu.be/RDhZVoPqL8k?si=VeD4hXJzOGdbUSDZ
36,morfonica,ビューティ・フォー,https://youtu.be/5kgdPWEUA7Q
37,morfonica,誓いのWingbeat,https://youtu.be/nnpD32__lAY?si=jAZuH3gM30TkLH4L
38,morfonica,flame of hope,https://youtu.be/4kLyLp8Oco0?si=5VZdCv4ecjTjueC0
39,morfonica,両翼のBrilliance,https://youtu.be/O0jB7IA5tZg?si=AjpySBB8SN06BPs1
40,mugendai_mutype,コミュ着火Fire!,https://youtu.be/SI8q0trRdOE?si=r2tJ0mfq8lrl2cFC
41,mugendai_mutype,夢現妄想世界,https://youtu.be/vS2MCoSUEVs?si=WjLCbkRQ04p1OkMd
42,mugendai_mutype,チューニング,https://youtu.be/gJqvYYkdkC8?si=kOGv0dP4Xn4uQUr1
43,mugendai_mutype,真夜中遊園地,https://youtu.be/KD-EeGTr53I?si=85rnBytQMHpdilcm
44,mugendai_mutype,これはぼくたちの生存のあらすじ,https://youtu.be/4XbNBhZuBoA
