idx,band,song,e1_mean_dyn,e2_lra_dyn,e3_onset_rate,onset_rate_fine,dyn_std,dyn_p90,dyn_p10,pulse_bpm,tempo_json,dur,has_onset
0,afterglow,ON YOUR MARK,0.76707,0.2667,1.51076,6.03063,0.18376,0.8947,0.628,184.6,92.3,241.6,1
1,afterglow,That Is How I Roll!,0.67472,0.118,1.48581,5.93072,0.12571,0.746,0.628,90.7,90.7,239.6,1
2,afterglow,SENSENFUKOKU,0.62037,0.2468,1.61055,6.43002,0.14,0.726,0.4792,99.4,99.4,246.5,1
3,afterglow,I knew it!,0.73401,0.118,1.63405,6.52592,0.1293,0.8,0.682,99.4,99.4,291.3,1
4,afterglow,ツナグ、ソラモヨウ,0.68475,0.2092,1.49056,5.95018,0.17173,0.8003,0.5911,95.7,95.7,248.9,1
5,afterglow,Hey-day狂騒曲(カプリチオ),0.67001,0.2454,2.4647,9.84596,0.18859,0.7943,0.5489,156.6,156.6,233.7,1
6,afterglow,"Easy come, Easy go!",0.72141,0.2424,2.21857,8.86196,0.1475,0.825,0.5826,136.0,136.0,243.4,1
7,afterglow,Sasanqua,0.67765,0.1962,1.53716,6.13598,0.15498,0.777,0.5808,99.4,99.4,236.8,1
8,afterglow,RED RED RED,0.62847,0.189,1.36364,5.44118,0.14333,0.717,0.528,94.0,94.0,224.4,1
9,afterglow,ONE OF US,0.55307,0.3664,1.68969,6.74814,0.17175,0.6718,0.3054,105.5,105.5,282.3,1
10,afterglow,Y.O.L.O!!!!!,0.68964,0.263,1.69066,6.75157,0.18272,0.803,0.54,105.5,105.5,270.9,1
11,afterglow,Scarlet Sky,0.77475,0.1152,1.44105,5.75109,0.14431,0.856,0.7408,90.7,90.7,229.0,1
12,afterglow,Off we go.,0.69953,0.3964,1.9023,7.5973,0.17064,0.8306,0.4342,120.2,120.2,251.8,1
13,afterglow,いつも通りのBrand new days,0.71371,0.2942,1.53814,6.13991,0.15781,0.8216,0.5274,95.7,95.7,237.3,1
14,afterglow,SWITCH ON NOW,0.75206,0.2165,1.61119,6.43029,0.16838,0.855,0.6385,99.4,99.4,207.3,1
15,afterglow,ランブリングメモリー,0.64131,0.295,1.81231,7.24,0.16802,0.753,0.458,126.0,126.0,325.0,1
16,afterglow,COMIC PANIC!!!,0.73373,0.2638,1.72549,6.89127,0.15201,0.845,0.5812,105.5,105.5,280.5,1
17,afterglow,Trouble Joyful!!,0.71873,0.1675,1.60992,6.42707,0.13829,0.801,0.6335,97.5,97.5,237.9,1
18,afterglow,Jamboree!Journey!,0.65191,0.2128,1.23557,4.93072,0.18614,0.7644,0.5516,78.3,78.3,259.8,1
19,afterglow,カナユメ,0.7063,0.1608,1.95772,7.82114,0.17338,0.7989,0.6381,126.0,126.0,307.5,1
20,afterglow,独創収差,0.74473,0.755,1.87839,7.50271,0.29199,0.952,0.197,126.0,126.0,276.3,1
21,afterglow,極彩色,0.67178,0.153,1.45432,5.80469,0.18656,0.772,0.619,92.3,92.3,238.6,1
