idx,band,song,id,spread_oct,peak_ratio,fold_med,dur,flagged,segs
178,ikka_dumb_rock,ホーミー・タイッ！！,ikka_dumb_rock__178,27.46,2.000,129.2,215.4,1,129|172|129|129|129|129
561,raise_a_suilen,Keep the Heat and Fire Yourself Up (Cover),raise_a_suilen__561,23.38,1.471,152.0,205.8,1,152|152|152|108|108|152
81,ave_mujica,Choir ‘S’ Choir,ave_mujica__081,23.26,1.529,136.0,288.1,1,108|148|144|148|148|99
293,mygo,遥か彼方 (Cover),mygo__293,23.06,1.933,172.3,249.2,1,172|172|172|172|117|117
597,roselia,Floral Haven,roselia__597,22.23,1.929,95.7,281.9,1,136|96|96|92|136|92
246,mugendai_mutype,TRASH LIFE,mugendai_mutype__246,21.84,1.571,117.5,213.0,1,117|152|92|120|161|92
653,roselia,深愛 (Cover),roselia__653,21.07,1.474,136.0,273.2,1,136|92|92|92|136|108
536,raise_a_suilen,Drown Out the Noise and Push Through the Trash,raise_a_suilen__536,20.89,1.929,99.4,216.0,1,96|96|96|99|144|144
265,mygo,潜在表明,mygo__265,20.38,1.526,136.0,262.1,1,136|178|136|136|136|136
268,mygo,詩超絆,mygo__268,18.36,1.083,99.4,237.2,1,108|92|96|92|108|148
92,ave_mujica,素晴らしき世界 でも どこにもない場所,ave_mujica__092,18.05,1.462,99.4,269.5,1,136|99|136|99|99|117
514,raise_a_suilen,Life on the Lotus,raise_a_suilen__514,17.78,1.462,136.0,243.3,1,136|99|108|136|99|129
40,afterglow,A Sunset So Bright,afterglow__040,16.59,1.429,99.4,231.1,1,96|123|129|123|96|99
442,poppin_party,Five Letters,poppin_party__442,16.26,1.500,129.2,249.2,1,129|172|172|172|172|129
32,afterglow,イマジネーション,afterglow__032,16.11,1.462,103.4,178.0,1,103|136|103|136|103|108
587,roselia,Break your desire,roselia__587,16.07,1.462,103.4,261.4,1,136|103|103|136|136|99
564,raise_a_suilen,神っぽいな (Cover),raise_a_suilen__564,15.71,1.500,143.6,204.3,1,144|144|144|103|144|144
300,mygo,春日影,mygo__300,15.10,3.077,117.5,123.0,1,129|129|129|99|99|99
385,poppin_party,走り始めたばかりのキミに ～Popipa Acoustic Ver.～,poppin_party__385,15.10,2.000,107.7,296.2,1,144|108|108|108|108|117
73,ave_mujica,"Georgette Me, Georgette You",ave_mujica__073,15.08,1.500,136.0,234.7,1,96|144|96|96|144|144
204,morfonica,Tempest,morfonica__204,15.05,1.462,99.4,252.2,1,99|136|136|99|136|99
513,raise_a_suilen,Repaint,raise_a_suilen__513,15.04,1.316,103.4,234.6,1,103|103|103|103|136|161
544,raise_a_suilen,Light a fire,raise_a_suilen__544,14.94,1.474,136.0,269.0,1,92|136|136|136|136|92
14,afterglow,SWITCH ON NOW,afterglow__014,14.74,2.000,99.4,207.3,1,129|99|99|99|136|103
645,roselia,ETERNAL BLAZE (Cover),roselia__645,14.73,1.471,152.0,309.2,1,108|123|152|152|152|152
169,hello_happy_world,GO! GO! MANIAC (Cover),hello_happy_world__169,14.68,3.100,166.7,249.1,1,123|167|167|126|123|167
75,ave_mujica,Crucifix X,ave_mujica__075,14.61,1.316,103.4,299.0,1,136|103|103|103|103|108
500,raise_a_suilen,EXPOSE ‘Burn out!!!’,raise_a_suilen__500,14.52,1.077,95.7,283.7,1,96|96|96|129|96|92
89,ave_mujica,Ether,ave_mujica__089,14.51,1.500,95.7,285.7,1,92|92|92|92|172|129
538,raise_a_suilen,EXPOSE 'Burn out!!!' (English),raise_a_suilen__538,14.50,1.929,95.7,283.7,1,96|92|92|129|92|92
402,poppin_party,Jumpin',poppin_party__402,14.32,2.000,99.4,247.9,1,136|99|99|99|99|99
79,ave_mujica,黒のバースデイ,ave_mujica__079,14.27,2.000,99.4,234.3,1,144|99|99|99|99|99
230,morfonica,Nevereverland (Cover),morfonica__230,14.27,1.923,103.4,287.4,1,144|103|103|103|103|103
424,poppin_party,TARINAI,poppin_party__424,14.23,1.077,95.7,219.6,1,96|96|96|129|99|96
201,morfonica,Secret Dawn,morfonica__201,14.09,1.500,132.5,238.4,1,172|133|172|172|129|129
76,ave_mujica,八芒星ダンス,ave_mujica__076,14.06,2.091,117.5,231.5,1,152|117|112|117|117|112
631,roselia,Proud of oneself,roselia__631,13.99,1.538,117.5,235.8,1,129|129|99|129|96|117
629,roselia,競宴Red×Violet,roselia__629,13.41,2.059,147.7,263.5,1,99|144|99|148|148|99
468,poppin_party,MATSURI BAYASHI (Cover),poppin_party__468,13.32,1.471,152.0,231.1,1,103|152|152|152|152|152
602,roselia,廻廻奇譚,roselia__602,13.26,1.500,92.3,221.2,1,123|92|92|123|123|117
328,pastel_palettes,ラムのラブソング,pastel_palettes__328,13.01,2.071,143.6,162.4,1,178|117|144|178|144|117
19,afterglow,カナユメ,afterglow__019,12.90,3.100,126.0,307.5,1,129|123|126|123|167|123
220,morfonica,again (Cover),morfonica__220,12.82,1.556,136.0,250.8,1,92|144|92|140|140|136
331,pastel_palettes,ゆりゆららららゆるゆり大事件,pastel_palettes__331,12.75,1.467,172.3,229.3,1,172|172|117|172|172|172
591,roselia,Song I am.,roselia__591,12.69,1.929,95.7,242.6,1,96|129|96|96|96|96
520,raise_a_suilen,Don't be afraid!,raise_a_suilen__520,12.60,2.071,120.2,143.9,1,120|123|92|178|178|117
266,mygo,音一会,mygo__266,12.57,2.000,99.4,282.0,1,99|99|99|99|99|136
399,poppin_party,イニシャル,poppin_party__399,12.51,1.350,99.4,295.2,1,129|129|129|96|129|99
590,roselia,"""UNIONS"" Road",roselia__590,12.49,1.526,136.0,309.3,1,136|136|136|136|136|136
249,mugendai_mutype,Calling,mugendai_mutype__249,12.42,1.467,172.3,182.2,1,172|172|172|172|172|117
63,afterglow,ドラマツルギー (Cover),afterglow__063,12.24,1.346,147.7,238.6,1,99|152|152|148|148|152
523,raise_a_suilen,Scarlet Sky,raise_a_suilen__523,12.16,2.071,117.5,246.5,1,178|92|123|92|92|120
262,mygo,碧天伴走,mygo__262,12.05,1.538,99.4,218.9,1,129|96|129|99|99|96
167,hello_happy_world,恋愛裁判 (Cover),hello_happy_world__167,11.85,1.526,178.2,223.1,1,178|178|178|178|136|136
23,afterglow,True color,afterglow__023,11.50,2.000,161.5,253.3,1,161|161|161|108|161|161
233,morfonica,unravel (Cover),morfonica__233,11.48,1.900,136.0,237.4,1,136|136|136|136|136|136
508,raise_a_suilen,DANCING DARING,raise_a_suilen__508,11.38,1.500,95.7,215.1,1,92|123|92|123|96|92
335,pastel_palettes,トリドリ＊パレット,pastel_palettes__335,11.30,1.933,172.3,252.2,1,178|172|117|172|172|117
78,ave_mujica,天球のMúsica,ave_mujica__078,11.18,1.538,112.3,280.3,1,99|129|99|129|99|129
381,poppin_party,私の心はチョココロネ,poppin_party__381,11.18,1.900,136.0,252.9,1,136|136|136|136|178|136
656,roselia,Preserved Roses (Cover),roselia__656,11.18,2.067,166.7,210.6,1,112|167|112|167|161|167
393,poppin_party,ガールズコード,poppin_party__393,11.17,2.100,126.0,325.2,1,126|123|167|123|129|123
599,roselia,閃光,roselia__599,11.06,1.933,172.3,218.6,1,172|172|117|172|172|117
259,mugendai_mutype,これはぼくたちの生存のあらすじ,mugendai_mutype__259,10.86,1.429,95.7,234.8,1,99|99|96|96|129|96
617,roselia,Sunlit Musical,roselia__617,10.83,2.000,92.3,232.1,1,92|123|92|123|92|92
341,pastel_palettes,フレっとパレットFight Song!!,pastel_palettes__341,10.43,1.500,143.6,242.0,1,96|144|144|144|144|144
182,morfonica,flame of hope,morfonica__182,10.37,1.429,95.7,252.9,1,129|96|96|96|96|99
214,morfonica,Color of Us,morfonica__214,10.33,1.538,99.4,233.7,1,99|99|99|129|99|99
541,raise_a_suilen,WHAT AN EXPLOSION,raise_a_suilen__541,10.13,1.259,95.7,190.9,1,148|96|96|152|99|96
471,poppin_party,夜行性ハイズ (Cover),poppin_party__471,10.07,2.000,132.5,226.0,1,172|133|133|129|129|133
20,afterglow,独創収差,afterglow__020,10.00,2.000,129.2,276.3,1,129|129|129|126|129|123
608,roselia,Second to None,roselia__608,9.99,1.500,92.3,233.7,1,92|123|92|92|92|92
648,roselia,スカイクラッドの観測者 (Cover),roselia__648,9.98,2.067,166.7,273.8,1,112|167|167|167|167|167
450,poppin_party,Chu Chueen!,poppin_party__450,9.96,2.083,107.7,229.9,1,108|136|108|126|108|108
12,afterglow,Off we go.,afterglow__012,9.93,1.571,117.5,251.8,1,144|92|117|92|117|117
99,ave_mujica,KINGS (Cover),ave_mujica__099,9.90,1.467,172.3,317.6,1,117|172|172|172|172|172
628,roselia,Singing “OURS”,roselia__628,9.87,2.100,126.0,316.2,1,123|126|161|126|126|123
586,roselia,Avant-garde HISTORY,roselia__586,9.77,3.091,152.0,306.8,1,117|152|152|152|117|152
657,roselia,My Dearest (Cover),roselia__657,9.67,2.067,166.7,337.1,1,172|172|112|172|112|112
378,poppin_party,ティアドロップス,poppin_party__378,9.62,1.077,95.7,217.1,1,96|96|129|96|123|92
467,poppin_party,じょいふる (Cover),poppin_party__467,9.55,2.000,161.5,194.6,1,161|157|161|161|161|108
611,roselia,XV,roselia__611,9.42,1.538,99.4,235.1,1,99|99|129|99|129|117
185,morfonica,fly with the night,morfonica__185,9.35,2.000,172.3,240.7,1,172|172|112|172|172|172
512,raise_a_suilen,灼熱 Bonfire!,raise_a_suilen__512,9.35,1.471,152.0,224.8,1,103|152|152|152|152|152
292,mygo,だれかの心臓になれたなら (Cover),mygo__292,9.34,2.000,143.6,236.4,1,144|144|144|144|144|172
647,roselia,This game (Cover),roselia__647,9.34,1.944,143.6,283.6,1,144|148|99|148|144|144
404,poppin_party,キラキラスター！,poppin_party__404,9.31,1.529,152.0,276.0,1,152|152|148|152|152|117
616,roselia,Sanctuary,roselia__616,9.25,1.500,92.3,310.9,1,92|123|123|92|92|92
239,mugendai_mutype,みゅーたんとミュータント,mugendai_mutype__239,9.23,1.529,152.0,220.3,1,152|152|152|152|152|117
606,roselia,Dazzle the Destiny,roselia__606,9.11,1.929,95.7,241.2,1,96|96|99|96|96|117
596,roselia,Always recall.,roselia__596,8.93,1.500,92.3,252.3,1,92|92|92|123|92|123
643,roselia,残酷な天使のテーゼ (Cover),roselia__643,8.90,2.056,139.7,261.8,1,140|140|140|140|140|140
649,roselia,シャルル (Cover),roselia__649,8.87,2.000,143.6,232.6,1,117|144|144|144|144|144
118,hello_happy_world,せかいのっびのびトレジャー！,hello_happy_world__118,8.78,2.923,112.3,212.7,1,172|172|99|172|99|99
326,pastel_palettes,気まぐれロマンティック,pastel_palettes__326,8.73,1.533,172.3,243.8,1,136|172|172|172|172|172
436,poppin_party,キミが始まる！,poppin_party__436,8.73,1.467,117.5,218.2,1,117|117|117|117|172|144
613,roselia,Fear Nothing,roselia__613,8.65,1.545,117.5,229.0,1,117|117|117|117|152|152
153,hello_happy_world,シル・ヴ・プレジデント (Cover),hello_happy_world__153,8.41,1.933,172.3,193.5,1,172|172|172|172|172|172
583,roselia,BRAVE JEWEL,roselia__583,8.40,2.077,99.4,247.5,1,99|99|99|129|126|99
243,mugendai_mutype,LET'Sあちあちトレーニング！,mugendai_mutype__243,8.25,1.071,152.0,206.5,1,112|172|178|152|123|92
179,millsage,起死開戦,millsage__179,8.13,1.533,166.7,195.3,1,161|161|117|112|172|172
57,afterglow,アスノヨゾラ哨戒班 (Cover),afterglow__057,8.05,2.000,92.3,192.0,1,92|92|92|92|92|117
535,raise_a_suilen,'FIGHT' ADDICT,raise_a_suilen__535,8.03,1.538,99.4,231.6,1,99|129|99|99|99|99
298,mygo,swim (Cover),mygo__298,7.98,2.077,99.4,209.5,1,99|99|99|129|99|99
555,raise_a_suilen,革命道中 (Cover),raise_a_suilen__555,7.94,2.000,92.3,198.2,1,123|92|92|92|92|99
322,pastel_palettes,あこがれacross,pastel_palettes__322,7.89,1.929,95.7,234.6,1,126|96|96|96|96|96
88,ave_mujica,Symbol IV : Earth,ave_mujica__088,7.72,2.059,143.6,239.1,1,148|148|148|117|144|148
93,ave_mujica,Angles,ave_mujica__093,7.65,1.077,99.4,275.1,1,117|117|99|99|99|117
39,afterglow,Glowing After,afterglow__039,7.61,2.000,99.4,254.5,1,99|99|99|99|129|99
604,roselia,Synchrogazer,roselia__604,7.54,1.500,161.5,266.7,1,161|161|161|161|161|117
96,ave_mujica,‘S/’ The Way,ave_mujica__096,7.48,2.062,161.5,227.5,1,161|161|161|161|157|161
527,raise_a_suilen,R･I･O･T (ライブ / アンコール),raise_a_suilen__527,7.45,2.056,139.7,348.1,1,140|140|140|140|144|123
316,pastel_palettes,ゼッタイ宣言～Recital～,pastel_palettes__316,7.43,1.933,172.3,241.5,1,178|117|178|117|172|117
529,raise_a_suilen,TWIN TALE,raise_a_suilen__529,7.39,2.000,99.4,217.5,1,99|99|99|99|99|99
554,raise_a_suilen,第六感 (Cover),raise_a_suilen__554,7.37,1.900,136.0,193.3,1,178|136|136|136|136|136
519,raise_a_suilen,えがおのオーケストラっ！,raise_a_suilen__519,7.36,1.947,136.0,255.6,1,136|136|136|136|136|136
614,roselia,PASSIONATE ANTHEM,roselia__614,7.16,2.000,99.4,243.0,1,99|129|99|99|99|99
501,raise_a_suilen,R・I・O・T,raise_a_suilen__501,7.04,1.056,139.7,301.5,1,140|136|140|144|144|144
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,hello_happy_world__145,7.03,1.529,152.0,227.6,1,152|152|152|152|152|152
426,poppin_party,Photograph,poppin_party__426,7.03,1.529,152.0,258.1,1,152|152|99|152|152|117
658,roselia,Shangri-La (Cover),roselia__658,6.96,1.941,152.0,239.0,1,152|157|152|152|152|157
54,afterglow,青のすみか (Cover),afterglow__054,6.87,2.000,152.0,197.4,1,152|152|152|152|152|152
251,mugendai_mutype,コハク,mugendai_mutype__251,6.87,2.077,99.4,220.0,1,99|99|99|99|99|99
2,afterglow,SENSENFUKOKU,afterglow__002,6.86,2.000,99.4,246.5,1,129|99|99|99|99|99
100,ave_mujica,暗黒天国 (Cover),ave_mujica__100,6.85,1.929,95.7,265.3,1,123|96|96|96|96|96
65,afterglow,午夜の待ち合わせ (Cover),afterglow__065,6.79,1.929,92.3,171.5,1,99|92|92|92|92|96
191,morfonica,誓いのWingbeat,morfonica__191,6.73,1.923,103.4,255.0,1,152|99|103|99|103|99
