feature,F,p,eta_sq,n_bands
rms,25.312935528497885,1.6498426466542053e-31,0.4530807085950267,10
harmonic_ratio,25.245739369949643,1.9370172114006573e-31,0.4524221060398828,10
contrast,15.045443731193668,7.430315427434845e-20,0.3299367111800462,10
flux,14.118898963841183,1.0787382785540412e-18,0.3160396498565201,10
acousticness_proxy,12.554534991725868,1.0969077263908833e-16,0.2912203345515258,10
zcr,12.219175352486966,3.0059970863164384e-16,0.28566340671448914,10
centroid,8.3211740626,5.7332453493620404e-11,0.21403997055127755,10
energy_proxy,8.15909418978252,9.664076814766958e-11,0.21074952875597217,10
rolloff,7.538335735369067,7.214614716894082e-10,0.19788830912018107,10
instrumentalness_proxy,5.3384632204985865,9.89469471222072e-07,0.14872849022021517,10
voiced_frac_mix,5.338463220498587,9.89469471222072e-07,0.14872849022021514,10
flatness,4.975270930961677,3.2803213914346193e-06,0.14002688434083085,10
mode_score,4.57911447050349,1.2093994221387136e-05,0.1303303678989216,10
tempo_excerpt,2.1049643506205,0.029285883384849356,0.06444981147475384,10
