band,idx,song,duration_s,harmonic_ratio,centroid,rolloff,flatness,contrast,flux,zcr,rms,tempo_excerpt,mode_score,key,voiced_frac_mix,acousticness_proxy,instrumentalness_proxy,energy_proxy
afterglow,0,ON YOUR MARK,241.6,0.62773,2605.57641,5395.97848,0.02875,21.64183,1.24574,0.12456,0.31677,123.04688,0.28223,Amaj,0.29928,-1.137969811924847,0.6813135030104186,-0.6515130983490456
afterglow,1,That Is How I Roll!,239.6,0.67244,2890.74679,5680.16565,0.04254,21.90067,1.27923,0.15562,0.27143,117.45384,0.07978,Dmaj,0.51445,-1.882303428951587,-0.5912769810063708,-0.8241158727147526
afterglow,2,SENSENFUKOKU,246.5,0.65763,2654.32859,5583.74957,0.03037,21.57486,1.27906,0.12697,0.24946,135.99918,0.02075,Fmaj,0.34778,-0.9100081914370556,0.39446757432698565,-1.6338699718169551
afterglow,3,I knew it!,291.3,0.72281,2467.6521,4791.71547,0.03049,21.14698,1.10984,0.13296,0.28898,99.38401,0.28963,Amaj,0.65583,-0.08738841558518327,-1.4274476489911911,-2.8466859323927602
afterglow,4,ツナグ、ソラモヨウ,248.9,0.67873,2568.00732,5260.94041,0.02855,21.43214,1.27643,0.12428,0.28048,129.19922,0.2626,Emaj,0.40557,-0.4662554867597357,0.05267734301532378,-1.3115982969254596
afterglow,5,Hey-day狂騒曲(カプリチオ),233.7,0.6841,3054.31926,6300.57301,0.05357,21.1258,1.27334,0.15857,0.2897,151.99908,-0.07085,Dmin,0.4324,-2.7860773137551367,-0.10600464186254252,-1.583542237052365
afterglow,6,"Easy come, Easy go!",243.4,0.69627,2548.78515,5239.27943,0.03005,21.42082,1.16165,0.12858,0.29572,135.99918,0.38069,Dmaj,0.21259,-0.38500273218825254,1.1940284217231365,-1.9630401991917266
afterglow,7,Sasanqua,236.8,0.76064,2441.06308,4944.20344,0.02364,22.23766,1.22646,0.11668,0.2676,99.38401,0.37115,C#maj,0.61868,1.0506395612083461,-1.2077295819687264,-0.8560576462173376
afterglow,8,RED RED RED,224.4,0.74699,2731.07628,5699.34887,0.03646,21.57782,1.08406,0.13931,0.25066,123.04688,0.09156,C#maj,0.62487,-0.3478963200853333,-1.2443394025573955,-3.1346151385489045
afterglow,9,ONE OF US,282.3,0.60008,2730.98451,5467.19472,0.03758,21.51021,1.25456,0.14222,0.22753,103.35938,-0.30065,Gmin,0.25181,-2.334750533835326,0.962067652177482,-2.2872211151714525
