band,idx,song,harmonic_ratio,centroid,rolloff,flatness,zcr,flux,contrast,mode_score,tempo_excerpt,voiced_frac_mix,rms,key
mygo,260,迷星叫,0.85129,1725.61767,3235.2471,0.00277,0.11144,1.03259,23.26661,0.3387,123.04688,0.42157,0.12034,G#maj
mygo,261,壱雫空,0.71524,2223.13278,3890.01537,0.00762,0.16462,1.05782,22.18438,0.17891,135.99918,0.49484,0.12822,F#maj
mygo,262,碧天伴走,0.81813,2167.1869,4014.26462,0.00565,0.1525,1.03003,22.48564,0.34793,129.19922,0.39886,0.12473,C#maj
mygo,263,影色舞,0.7723,2127.81866,3856.73223,0.00889,0.13981,1.28115,22.47414,-0.1155,112.34715,0.43034,0.08554,A#min
ave_mujica,72,KiLLKiSS,0.86401,1714.26892,3154.36426,0.00361,0.11058,0.99141,23.13489,-0.1032,135.99918,0.62539,0.18195,Bmin
ave_mujica,73,"Georgette Me, Georgette You",0.93686,1604.59133,3027.96502,0.00292,0.09447,0.94137,23.92253,-0.14054,95.70312,0.52374,0.14614,G#min
ave_mujica,74,Imprisoned XII,0.96606,1189.89066,2219.69213,0.00198,0.06273,1.05759,25.58852,-0.02058,103.35938,0.70124,0.06756,Emin
ave_mujica,75,Crucifix X,0.92053,1771.87044,3402.58498,0.00976,0.10103,0.96297,23.0742,-0.0946,135.99918,0.81682,0.12204,Amin
morfonica,180,Daylight -デイライト-,0.70047,2964.72141,4847.85402,0.01387,0.24983,0.99663,22.62625,-0.02924,123.04688,0.15583,0.11987,Gmin
morfonica,181,メランコリックララバイ,0.7618,2381.60821,4133.53612,0.01365,0.17458,1.09609,22.75104,-0.16507,117.45384,0.40557,0.06505,Cmin
morfonica,182,flame of hope,0.77126,2381.46734,3723.64415,0.00644,0.1954,1.06983,23.03865,-0.11083,129.19922,0.44376,0.08688,Amin
