band,idx,song,harmonic_ratio_mix,harmonic_ratio_other,harmonic_ratio_delta,centroid_mix,centroid_other,centroid_delta,rolloff_mix,rolloff_other,rolloff_delta,zcr_mix,zcr_other,zcr_delta,flatness_mix,flatness_other,flatness_delta,bright_mix,bright_other,bright_delta,hr_delta
mygo,260,迷星叫,0.71671,0.85129,0.13458000000000003,2482.34398,1725.61767,-756.72631,5332.22331,3235.2471,-2096.9762100000003,0.09961,0.11144,0.011829999999999993,0.02208,0.00277,-0.01931,1953.6722450000002,1240.244745,-713.4275000000002,0.13458000000000003
mygo,261,壱雫空,0.66784,0.71524,0.0474,2534.66344,2223.13278,-311.5306599999999,5282.89583,3890.01537,-1392.8804600000003,0.11328,0.16462,0.05133999999999998,0.03046,0.00762,-0.02284,1954.4257524999998,1528.3300975,-426.09565499999985,0.0474
mygo,262,碧天伴走,0.72715,0.81813,0.09098000000000006,2595.69505,2167.1869,-428.50814999999966,5455.19479,4014.26462,-1440.9301699999996,0.11294,0.1525,0.03956,0.02789,0.00565,-0.022240000000000003,2012.7576675,1545.4024175000002,-467.35524999999984,0.09098000000000006
mygo,263,影色舞,0.66999,0.7723,0.10231000000000001,2249.74843,2127.81866,-121.92977000000019,4814.59311,3856.73223,-957.8608799999997,0.09423,0.13981,0.045579999999999996,0.01862,0.00889,-0.00973,1766.1135974999997,1496.1748975,-269.9386999999997,0.10231000000000001
ave_mujica,72,KiLLKiSS,0.72307,0.86401,0.14093999999999995,2478.96987,1714.26892,-764.7009499999999,5098.44695,3154.36426,-1944.0826899999997,0.12058,0.11058,-0.010000000000000009,0.03219,0.00361,-0.028580000000000005,1894.3923974999998,1217.1868424999998,-677.205555,0.14093999999999995
ave_mujica,73,"Georgette Me, Georgette You",0.81284,0.93686,0.12402000000000002,2241.02086,1604.59133,-636.4295300000001,4687.90499,3027.96502,-1659.93997,0.0998,0.09447,-0.005330000000000001,0.01865,0.00292,-0.01573,1732.261075,1158.163435,-574.09764,0.12402000000000002
ave_mujica,74,Imprisoned XII,0.77539,0.96606,0.19067,2037.10785,1189.89066,-847.2171900000001,4256.43537,2219.69213,-2036.7432400000002,0.08287,0.06273,-0.020140000000000005,0.01426,0.00198,-0.01228,1573.4100875000001,852.411875,-720.9982125000001,0.19067
ave_mujica,75,Crucifix X,0.72753,0.92053,0.19299999999999995,2721.63061,1771.87044,-949.7601700000002,5820.57036,3402.58498,-2417.9853799999996,0.12317,0.10103,-0.022140000000000007,0.03289,0.00976,-0.023130000000000005,2135.5892575000003,1293.6415525,-841.9477050000003,0.19299999999999995
morfonica,180,Daylight -デイライト-,0.75054,0.70047,-0.05006999999999995,3027.59158,2964.72141,-62.87016999999969,5873.31448,4847.85402,-1025.4604600000002,0.16234,0.24983,0.08748999999999998,0.05378,0.01387,-0.03991,2225.280545,1953.2097824999998,-272.0707625000002,-0.05006999999999995
morfonica,181,メランコリックララバイ,0.84723,0.7618,-0.08543,2953.44515,2381.60821,-571.8369400000001,6066.11332,4133.53612,-1932.5772000000006,0.12222,0.17458,0.05236000000000002,0.03198,0.01365,-0.01833,2254.9281674999997,1628.8331399999997,-626.0950275,-0.08543
morfonica,182,flame of hope,0.82429,0.77126,-0.05303000000000002,2897.85407,2381.46734,-516.3867299999997,5840.20357,3723.64415,-2116.5594199999996,0.13308,0.1954,0.062319999999999987,0.03765,0.00644,-0.03121,2184.5570924999997,1526.3283325,-658.2287599999997,-0.05303000000000002
