feature,F,p,eta_sq,n_bands
rms,9.15493285564346,6.142850805903993e-13,0.4327564128004884,13
contrast,6.133760828131947,1.2368104828218465e-08,0.33825089490627347,13
harmonic_ratio,5.471444886093111,1.247520661379181e-07,0.3131649913195369,13
flux,4.816119842720854,1.2798320964788808e-06,0.2863989961873157,13
rolloff,4.347769403999226,6.892678944055734e-06,0.265954901647659,13
energy_proxy,4.18538792538175,1.2390703299916951e-05,0.25859052280225364,13
acousticness_proxy,4.180491752096521,1.2611968427717814e-05,0.2583661742885441,13
zcr,4.016083895251035,2.286024617750853e-05,0.25075317546518644,13
flatness,3.737559798437474,6.267476091500878e-05,0.23749296881518864,13
centroid,3.521549486754994,0.00013696648287893516,0.226881310384638,13
mode_score,2.68573728934719,0.0027267383129861975,0.18288065736375272,13
voiced_frac_mix,2.4954564176075738,0.005298206232094926,0.17215438725864143,13
instrumentalness_proxy,2.495456417607572,0.005298206232094969,0.17215438725864132,13
tempo_excerpt,0.8345882097102127,0.6147492085812543,0.06502648905235578,13
