feature,group,perm_importance_mean,perm_importance_std,rf_impurity_importance
popularity,3_model,0.1825263157894737,0.0018695943931316165,0.19741185230318958
instrumentalness,2_composite,0.06806140350877195,0.0011072802535332129,0.07279814301840414
acousticness,2_composite,0.05792105263157896,0.0007528544224956321,0.0984196197851486
duration_ms,1_low-level,0.044114035087719314,0.0009024435894464301,0.0918704896568981
danceability,2_composite,0.04355263157894738,0.0018151749108308662,0.09017573617457877
valence,2_composite,0.03400877192982458,0.0013937710437428752,0.08035452098653502
energy,2_composite,0.029421052631578938,0.0008676675802721532,0.0694099701935426
speechiness,2_composite,0.02622807017543861,0.0007596714068284522,0.08501520293107784
loudness,1_low-level,0.02523684210526317,0.0007589620489937928,0.07483304280026035
tempo,1_low-level,0.02157894736842105,0.0009137134498245471,0.06929544065400496
liveness,2_composite,0.005254385964912289,0.0005110354969694506,0.0407627867231658
mode,1_low-level,0.003745614035087741,0.0006341322656816927,0.010381254549994634
time_signature,1_low-level,0.0006578947368421128,0.00013869638860386618,0.003800560813445172
key,1_low-level,0.0004649122807017569,0.00029172437102308345,0.01547137940975454
