detected_at,band,name,release_date,video_id,variant,url
2026-06-20,raise_a_suilen,HOWLING AMBITION,2025-06-10,XYMoaMqyf6s,,https://youtu.be/XYMoaMqyf6s
2026-06-20,raise_a_suilen,VIVID FIRST TIME,2025-06-10,ckqNhklWz6I,,https://youtu.be/ckqNhklWz6I
2026-06-20,roselia,Dazzle the Destiny,2025-06-25,NBqwhhtVs9I,,https://youtu.be/NBqwhhtVs9I
2026-06-20,roselia,Grateful Melting,2025-06-25,xeBOEvFrWK8,,https://youtu.be/xeBOEvFrWK8
2026-06-20,roselia,Second to None,2025-06-25,qqEMtc1NtGk,,https://youtu.be/qqEMtc1NtGk
2026-06-20,morfonica,Feathered Dreams,2025-08-26,sAnwgtsAzs8,,https://youtu.be/sAnwgtsAzs8
2026-06-20,morfonica,Portray Empathy,2025-08-26,A-8Ci-YRgjE,,https://youtu.be/A-8Ci-YRgjE
2026-06-20,morfonica,ビューティ・フォー,2025-09-12,5kgdPWEUA7Q,,https://youtu.be/5kgdPWEUA7Q
2026-06-20,raise_a_suilen,'FIGHT' ADDICT,2025-11-11,gHqSTnDDmJk,,https://youtu.be/gHqSTnDDmJk
2026-06-20,raise_a_suilen,Drown Out the Noise and Push Through the Trash,2025-11-11,EELGtL1U1vw,,https://youtu.be/EELGtL1U1vw
2026-06-20,raise_a_suilen,FIVE as ONE,2025-11-11,rRo4HYj654A,,https://youtu.be/rRo4HYj654A
2026-06-20,roselia,Steadfast Spirits,2025-11-18,ppeswfW0mg4,,https://youtu.be/ppeswfW0mg4
2026-06-20,roselia,紫炎,2025-11-18,0BsIKL3t76M,,https://youtu.be/0BsIKL3t76M
2026-06-20,poppin_party,Drive Your Heart,2025-12-23,3qwN9R7er9Y,,https://youtu.be/3qwN9R7er9Y
2026-06-20,poppin_party,とっておきAnswer,2025-12-23,uOdEmtdzblA,,https://youtu.be/uOdEmtdzblA
2026-06-20,hello_happy_world,スマイリーキャロル,2025-12-25,f5aGrmFiDGc,,https://youtu.be/f5aGrmFiDGc
2026-06-20,poppin_party,START!! True dreams,2025-12-25,SQ_-nPf-SNI,,https://youtu.be/SQ_-nPf-SNI
2026-06-20,poppin_party,どきどきデエト,2026-04-28,sk7nYFsnLto,,https://youtu.be/sk7nYFsnLto
2026-06-20,roselia,XV,2026-05-01,P9PXzNniuaY,,https://youtu.be/P9PXzNniuaY
2026-06-20,morfonica,胡蝶翔る星月夜,2026-05-06,GOU_X0KK-jo,,https://youtu.be/GOU_X0KK-jo
2026-06-20,mugendai_mutype,やわやわNERD 超FreQuency,2026-05-12,xzkEK0GF7fw,,https://youtu.be/xzkEK0GF7fw
