band,numbering,album_title,img_url,track_number,name,url
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,01,ON YOUR MARK,https://youtu.be/09B-WljIiTo?si=Oe3g-aIpylpiDYJi
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,02,That Is How I Roll!,https://youtu.be/_lfuqSepLNw?si=pW_of116Su_GAyOi
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,03,SENSENFUKOKU,https://youtu.be/RDZUbagvt0E?si=3_l4hQ3GgQa6bV44
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,04,I knew it!,https://youtu.be/q-TEDPBUv7M?si=WEml6ra7_G5JroC1
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,05,ツナグ、ソラモヨウ,https://youtu.be/BnWyq8p7NzI?si=IfhVyDetEXhXfENJ
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,06,Hey-day狂騒曲(カプリチオ),https://youtu.be/czHlLBls4oo?si=JqDHcvKWWPBxYu13
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,07,"Easy come, Easy go!",https://youtu.be/erY4I7Irk0E?si=uS6vUsClF4Dgbyf6
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,08,Sasanqua,https://youtu.be/erY4I7Irk0E?si=uS6vUsClF4Dgbyf6
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,09,RED RED RED,https://youtu.be/PEUtqZ_lQ4w?si=Y_iceu81WKgeGJ6F
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,10,ONE OF US,https://youtu.be/fwT9BgeiPNU?si=Zav4CSyg58g67Wwd
afterglow,1st,ONE OF US,assets/afterglow/a01.webp,11,Y.O.L.O!!!!!,https://youtu.be/NWTkdgPu9v8?si=e41IrKVp6kuMisF6
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-01,Scarlet Sky,https://youtu.be/tfZBC32tcwo?si=-sUSsnHjiHtgirQv
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-02,Off we go.,https://youtu.be/bg2UuSTbyqk?si=VPkxJWjOy8kAD0AH
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-03,いつも通りのBrand new days,https://youtu.be/Ku2GV2VkQcA?si=ZBYdL2ShXx_t4S0H
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-04,SWITCH ON NOW,https://youtu.be/jsPk4RqO3N8?si=LyNULSTvSIA_RCJJ
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-05,ランブリングメモリー,https://youtu.be/vRHfyDdge6s?si=f112hlyDPJw2rd-6
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-06,COMIC PANIC!!!,https://youtu.be/LhpHCRJAAKw?si=Teq4BLYU0NJlYFvS
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-07,Trouble Joyful!!,https://youtu.be/RepUyAXXlD8?si=HXSXkm8hhkZRPCV_
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-08,Jamboree!Journey!,https://youtu.be/UEBaKDkey40?si=HzLWQemlKGUY9sNW
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-09,カナユメ,https://youtu.be/ZFXt0Ul0YA8?si=S6n9ScyUYOnXbBeb
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-10,独創収差,https://youtu.be/8rQjShGMPYs?si=Uyj3jhLPcX4-XvXs
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-11,極彩色(BanG Dream!)|極彩色,https://youtu.be/YvpL2A3FZk4?si=rYbukf4NN7-ej-I0
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-12,サクラゼンセン,https://youtu.be/RJ98HN9hl6I?si=7xaaialcY5VrB7BV
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc1-13,True color,https://youtu.be/zOTQpZkq_vk?si=RVfrn_8QUQYgVgbd
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-01,Crow Song,https://youtu.be/mpPPaC8vfsU?si=TRJ4wMOSQf-IESds
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-02,カサブタ,https://youtu.be/-0QIHYtgwwQ?si=246TcAMhzW4hdID6
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-03,アイのシナリオ,https://youtu.be/TFvTI-1uz7g?si=eTBNpDfRd7AhbBZP
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-04,Northern lights,https://youtu.be/qrbkufy83yY?si=NOiHesaVoKxsr0n2
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-05,トーキョーワンダー。,https://youtu.be/4vNlqraef0E?si=bFXa6NIwhBFq33Hb
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-06,Reach Out To The Truth,https://youtu.be/ufMWpo-RKpQ?si=QpRF38EojKO0lIVA
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-07,Listen!!,https://youtu.be/VDWm77vSOR8?si=GqGlju3DgNMsMbfF
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-08,青い栞,https://youtu.be/bzJW33heiqw?si=81wZoTTnaeuwF0i0
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-09,イマジネーション,https://youtu.be/PDtPDiaQOK8?si=-K1cxmldhf736JxO
afterglow,2nd,STAY GLOW,assets/afterglow/a02.webp,Disc2-10,Butter-Fly,https://youtu.be/GlylV3xII5k?si=2wKE6I9na17e4Dwa
afterglow,Mini,忘れらんない日々のこと,assets/afterglow/m01.webp,01,燦々,https://youtu.be/WnTBaFVyDyM?si=ybq7FlA_vHzO48b3
afterglow,Mini,忘れらんない日々のこと,assets/afterglow/m01.webp,02,That's why I'm here.,https://youtu.be/Q0l5OZb3Fr8?si=QIxKPycVsLM26zx7
